"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
50149,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas",32,"Montevideo","","","Distrito","District"
50150,176,"PER","Peru",1,"Amazonas",5,"Luya",56,"Providencia","","","Distrito","District"
50151,176,"PER","Peru",1,"Amazonas",5,"Luya",57,"San Cristobal","","","Distrito","District"
50152,176,"PER","Peru",1,"Amazonas",5,"Luya",58,"San Francisco del Yeso","","","Distrito","District"
50153,176,"PER","Peru",1,"Amazonas",5,"Luya",59,"San Jeronimo","","","Distrito","District"
50154,176,"PER","Peru",1,"Amazonas",5,"Luya",60,"San Juan de Lopecancha","","","Distrito","District"
50155,176,"PER","Peru",1,"Amazonas",5,"Luya",61,"Santa Catalina","","","Distrito","District"
50156,176,"PER","Peru",1,"Amazonas",5,"Luya",62,"Santo Tomas","","","Distrito","District"
50157,176,"PER","Peru",1,"Amazonas",5,"Luya",63,"Tingo","","","Distrito","District"
50158,176,"PER","Peru",1,"Amazonas",5,"Luya",64,"Trita","","","Distrito","District"
50159,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",65,"Chirimoto","","","Distrito","District"
50160,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",66,"Cochamal","","","Distrito","District"
50161,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",67,"Huambo","","","Distrito","District"
50162,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",68,"Limabamba","","","Distrito","District"
50163,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",69,"Longar","","","Distrito","District"
50164,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",70,"Mariscal Benavides","","","Distrito","District"
50165,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",71,"Milpuc","","","Distrito","District"
50166,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",72,"Omia","","","Distrito","District"
50167,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",73,"San Nicolas","","","Distrito","District"
50168,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",74,"Santa Rosa","","","Distrito","District"
50169,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",75,"Totora","","","Distrito","District"
50170,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",76,"Vista Alegre","","","Distrito","District"
50171,176,"PER","Peru",1,"Amazonas",7,"Utcubamba",77,"Bagua Grande","","","Distrito","District"
50172,176,"PER","Peru",1,"Amazonas",7,"Utcubamba",78,"Cajaruro","","","Distrito","District"
50173,176,"PER","Peru",1,"Amazonas",7,"Utcubamba",79,"Cumba","","","Distrito","District"
50174,176,"PER","Peru",1,"Amazonas",7,"Utcubamba",80,"El Milagro","","","Distrito","District"
50175,176,"PER","Peru",1,"Amazonas",7,"Utcubamba",81,"Jamalca","","","Distrito","District"
50176,176,"PER","Peru",1,"Amazonas",7,"Utcubamba",82,"Lonya Grande","","","Distrito","District"
50177,176,"PER","Peru",1,"Amazonas",7,"Utcubamba",83,"Yamon","","","Distrito","District"
50178,176,"PER","Peru",2,"Ancash",8,"Aija",84,"Aija","","","Distrito","District"
50179,176,"PER","Peru",2,"Ancash",8,"Aija",85,"Coris","","","Distrito","District"
50180,176,"PER","Peru",2,"Ancash",8,"Aija",86,"Huacllan","","","Distrito","District"
50181,176,"PER","Peru",2,"Ancash",8,"Aija",87,"La Merced","","","Distrito","District"
50182,176,"PER","Peru",2,"Ancash",8,"Aija",88,"Succha","","","Distrito","District"
50183,176,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",89,"Aczo","","","Distrito","District"
50184,176,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",90,"Chaccho","","","Distrito","District"
50185,176,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",91,"Chingas","","","Distrito","District"
50186,176,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",92,"Llamellin","","","Distrito","District"
50187,176,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",93,"Mirgas","","","Distrito","District"
50188,176,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",94,"San Juan de Rontoy","","","Distrito","District"
50189,176,"PER","Peru",2,"Ancash",10,"Asunción",95,"Acochaca","","","Distrito","District"
50190,176,"PER","Peru",2,"Ancash",10,"Asunción",96,"Chacas","","","Distrito","District"
50191,176,"PER","Peru",2,"Ancash",11,"Bolognesi",97,"Abelardo Pardo Lezameta","","","Distrito","District"
50192,176,"PER","Peru",2,"Ancash",11,"Bolognesi",98,"Antonio Raymondi","","","Distrito","District"
50193,176,"PER","Peru",2,"Ancash",11,"Bolognesi",99,"Aquia","","","Distrito","District"
50194,176,"PER","Peru",2,"Ancash",11,"Bolognesi",100,"Cajacay","","","Distrito","District"
50195,176,"PER","Peru",2,"Ancash",11,"Bolognesi",101,"Canis","","","Distrito","District"
50196,176,"PER","Peru",2,"Ancash",11,"Bolognesi",102,"Chiquian","","","Distrito","District"
50197,176,"PER","Peru",2,"Ancash",11,"Bolognesi",103,"Colquioc","","","Distrito","District"
50198,176,"PER","Peru",2,"Ancash",11,"Bolognesi",104,"Huallanca","","","Distrito","District"
50199,176,"PER","Peru",2,"Ancash",11,"Bolognesi",105,"Huasta","","","Distrito","District"
50200,176,"PER","Peru",2,"Ancash",11,"Bolognesi",106,"Huayllacayan","","","Distrito","District"
50201,176,"PER","Peru",2,"Ancash",11,"Bolognesi",107,"La Primavera","","","Distrito","District"
50202,176,"PER","Peru",2,"Ancash",11,"Bolognesi",108,"Mangas","","","Distrito","District"
50203,176,"PER","Peru",2,"Ancash",11,"Bolognesi",109,"Pacllon","","","Distrito","District"
50204,176,"PER","Peru",2,"Ancash",11,"Bolognesi",110,"San Miguel de Corpanqui","","","Distrito","District"
50205,176,"PER","Peru",2,"Ancash",11,"Bolognesi",111,"Ticllos","","","Distrito","District"
50206,176,"PER","Peru",2,"Ancash",12,"Carhuaz",112,"Acopampa","","","Distrito","District"
50207,176,"PER","Peru",2,"Ancash",12,"Carhuaz",113,"Amashca","","","Distrito","District"
50208,176,"PER","Peru",2,"Ancash",12,"Carhuaz",114,"Anta","","","Distrito","District"
50209,176,"PER","Peru",2,"Ancash",12,"Carhuaz",115,"Ataquero","","","Distrito","District"
50210,176,"PER","Peru",2,"Ancash",12,"Carhuaz",116,"Carhuaz","","","Distrito","District"
50211,176,"PER","Peru",2,"Ancash",12,"Carhuaz",117,"Marcara","","","Distrito","District"
50212,176,"PER","Peru",2,"Ancash",12,"Carhuaz",118,"Pariahuanca","","","Distrito","District"
50213,176,"PER","Peru",2,"Ancash",12,"Carhuaz",119,"San Miguel de Aco","","","Distrito","District"
50214,176,"PER","Peru",2,"Ancash",12,"Carhuaz",120,"Shilla","","","Distrito","District"
50215,176,"PER","Peru",2,"Ancash",12,"Carhuaz",121,"Tinco","","","Distrito","District"
50216,176,"PER","Peru",2,"Ancash",12,"Carhuaz",122,"Yungar","","","Distrito","District"
50217,176,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald",123,"San Luis","","","Distrito","District"
50218,176,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald",124,"San Nicolas","","","Distrito","District"
50219,176,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald",125,"Yauya","","","Distrito","District"
50220,176,"PER","Peru",2,"Ancash",14,"Casma",126,"Buena Vista Alta","","","Distrito","District"
50221,176,"PER","Peru",2,"Ancash",14,"Casma",127,"Casma","","","Distrito","District"
50222,176,"PER","Peru",2,"Ancash",14,"Casma",128,"Comandante Noel","","","Distrito","District"
50223,176,"PER","Peru",2,"Ancash",14,"Casma",129,"Yautan","","","Distrito","District"
50224,176,"PER","Peru",2,"Ancash",15,"Corongo",130,"Aco","","","Distrito","District"
50225,176,"PER","Peru",2,"Ancash",15,"Corongo",131,"Bambas","","","Distrito","District"
50226,176,"PER","Peru",2,"Ancash",15,"Corongo",132,"Corongo","","","Distrito","District"
50227,176,"PER","Peru",2,"Ancash",15,"Corongo",133,"Cusca","","","Distrito","District"
50228,176,"PER","Peru",2,"Ancash",15,"Corongo",134,"La Pampa","","","Distrito","District"
50229,176,"PER","Peru",2,"Ancash",15,"Corongo",135,"Yanac","","","Distrito","District"
50230,176,"PER","Peru",2,"Ancash",15,"Corongo",136,"Yupan","","","Distrito","District"
50231,176,"PER","Peru",2,"Ancash",16,"Huaraz",137,"Cochabamba","","","Distrito","District"
50232,176,"PER","Peru",2,"Ancash",16,"Huaraz",138,"Colcabamba","","","Distrito","District"
50233,176,"PER","Peru",2,"Ancash",16,"Huaraz",139,"Huanchay","","","Distrito","District"
50234,176,"PER","Peru",2,"Ancash",16,"Huaraz",140,"Huaraz","","","Distrito","District"
50235,176,"PER","Peru",2,"Ancash",16,"Huaraz",141,"Independencia","","","Distrito","District"
50236,176,"PER","Peru",2,"Ancash",16,"Huaraz",142,"Jangas","","","Distrito","District"
50237,176,"PER","Peru",2,"Ancash",16,"Huaraz",143,"La Libertad","","","Distrito","District"
50238,176,"PER","Peru",2,"Ancash",16,"Huaraz",144,"Olleros","","","Distrito","District"
50239,176,"PER","Peru",2,"Ancash",16,"Huaraz",145,"Pampas","","","Distrito","District"
50240,176,"PER","Peru",2,"Ancash",16,"Huaraz",146,"Pariacoto","","","Distrito","District"
50241,176,"PER","Peru",2,"Ancash",16,"Huaraz",147,"Pira","","","Distrito","District"
50242,176,"PER","Peru",2,"Ancash",16,"Huaraz",148,"Tarica","","","Distrito","District"
50243,176,"PER","Peru",2,"Ancash",17,"Huari",149,"Anra","","","Distrito","District"
50244,176,"PER","Peru",2,"Ancash",17,"Huari",150,"Cajay","","","Distrito","District"
50245,176,"PER","Peru",2,"Ancash",17,"Huari",151,"Chavin de Huantar","","","Distrito","District"
50246,176,"PER","Peru",2,"Ancash",17,"Huari",152,"Huacachi","","","Distrito","District"
50247,176,"PER","Peru",2,"Ancash",17,"Huari",153,"Huacchis","","","Distrito","District"
50248,176,"PER","Peru",2,"Ancash",17,"Huari",154,"Huachis","","","Distrito","District"
50249,176,"PER","Peru",2,"Ancash",17,"Huari",155,"Huantar","","","Distrito","District"
50250,176,"PER","Peru",2,"Ancash",17,"Huari",156,"Huari","","","Distrito","District"
50251,176,"PER","Peru",2,"Ancash",17,"Huari",157,"Masin","","","Distrito","District"
50252,176,"PER","Peru",2,"Ancash",17,"Huari",158,"Paucas","","","Distrito","District"
50253,176,"PER","Peru",2,"Ancash",17,"Huari",159,"Ponto","","","Distrito","District"
50254,176,"PER","Peru",2,"Ancash",17,"Huari",160,"Rahuapampa","","","Distrito","District"
50255,176,"PER","Peru",2,"Ancash",17,"Huari",161,"Rapayan","","","Distrito","District"
50256,176,"PER","Peru",2,"Ancash",17,"Huari",162,"San Marcos","","","Distrito","District"
50257,176,"PER","Peru",2,"Ancash",17,"Huari",163,"San Pedro de Chana","","","Distrito","District"
50258,176,"PER","Peru",2,"Ancash",17,"Huari",164,"Uco","","","Distrito","District"
50259,176,"PER","Peru",2,"Ancash",18,"Huarmey",165,"Cochapeti","","","Distrito","District"
50260,176,"PER","Peru",2,"Ancash",18,"Huarmey",166,"Culebras","","","Distrito","District"
50261,176,"PER","Peru",2,"Ancash",18,"Huarmey",167,"Huarmey","","","Distrito","District"
50262,176,"PER","Peru",2,"Ancash",18,"Huarmey",168,"Huayan","","","Distrito","District"
50263,176,"PER","Peru",2,"Ancash",18,"Huarmey",169,"Malvas","","","Distrito","District"
50264,176,"PER","Peru",2,"Ancash",19,"Huaylas",170,"Caraz","","","Distrito","District"
50265,176,"PER","Peru",2,"Ancash",19,"Huaylas",171,"Huallanca","","","Distrito","District"
50266,176,"PER","Peru",2,"Ancash",19,"Huaylas",172,"Huata","","","Distrito","District"
50267,176,"PER","Peru",2,"Ancash",19,"Huaylas",173,"Huaylas","","","Distrito","District"
50268,176,"PER","Peru",2,"Ancash",19,"Huaylas",174,"Mato","","","Distrito","District"
50269,176,"PER","Peru",2,"Ancash",19,"Huaylas",175,"Pamparomas","","","Distrito","District"
50270,176,"PER","Peru",2,"Ancash",19,"Huaylas",176,"Pueblo Libre","","","Distrito","District"
50271,176,"PER","Peru",2,"Ancash",19,"Huaylas",177,"Santa Cruz","","","Distrito","District"
50272,176,"PER","Peru",2,"Ancash",19,"Huaylas",178,"Santo Toribio","","","Distrito","District"
50273,176,"PER","Peru",2,"Ancash",19,"Huaylas",179,"Yuracmarca","","","Distrito","District"
50274,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",180,"Casca","","","Distrito","District"
50275,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",181,"Eleazar Guzman Barron","","","Distrito","District"
50276,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",182,"Fidel Olivas Escudero","","","Distrito","District"
50277,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",183,"Llama","","","Distrito","District"
50278,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",184,"Llumpa","","","Distrito","District"
50279,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",185,"Lucma","","","Distrito","District"
50280,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",186,"Musga","","","Distrito","District"
50281,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",187,"Piscobamba","","","Distrito","District"
50282,176,"PER","Peru",2,"Ancash",21,"Ocros",188,"Acas","","","Distrito","District"
50283,176,"PER","Peru",2,"Ancash",21,"Ocros",189,"Cajamarquilla","","","Distrito","District"
50284,176,"PER","Peru",2,"Ancash",21,"Ocros",190,"Carhuapampa","","","Distrito","District"
50285,176,"PER","Peru",2,"Ancash",21,"Ocros",191,"Cochas","","","Distrito","District"
50286,176,"PER","Peru",2,"Ancash",21,"Ocros",192,"Congas","","","Distrito","District"
50287,176,"PER","Peru",2,"Ancash",21,"Ocros",193,"Llipa","","","Distrito","District"
50288,176,"PER","Peru",2,"Ancash",21,"Ocros",194,"Ocros","","","Distrito","District"
50289,176,"PER","Peru",2,"Ancash",21,"Ocros",195,"San Cristobal de Rajan","","","Distrito","District"
50290,176,"PER","Peru",2,"Ancash",21,"Ocros",196,"San Pedro","","","Distrito","District"
50291,176,"PER","Peru",2,"Ancash",21,"Ocros",197,"Santiago de Chilcas","","","Distrito","District"
50292,176,"PER","Peru",2,"Ancash",22,"Pallasca",198,"Bolognesi","","","Distrito","District"
50293,176,"PER","Peru",2,"Ancash",22,"Pallasca",199,"Cabana","","","Distrito","District"
50294,176,"PER","Peru",2,"Ancash",22,"Pallasca",200,"Conchucos","","","Distrito","District"
50295,176,"PER","Peru",2,"Ancash",22,"Pallasca",201,"Huacaschuque","","","Distrito","District"
50296,176,"PER","Peru",2,"Ancash",22,"Pallasca",202,"Huandoval","","","Distrito","District"
50297,176,"PER","Peru",2,"Ancash",22,"Pallasca",203,"Lacabamba","","","Distrito","District"
50298,176,"PER","Peru",2,"Ancash",22,"Pallasca",204,"Llapo","","","Distrito","District"
50299,176,"PER","Peru",2,"Ancash",22,"Pallasca",205,"Pallasca","","","Distrito","District"
50300,176,"PER","Peru",2,"Ancash",22,"Pallasca",206,"Pampas","","","Distrito","District"
50301,176,"PER","Peru",2,"Ancash",22,"Pallasca",207,"Santa Rosa","","","Distrito","District"
50302,176,"PER","Peru",2,"Ancash",22,"Pallasca",208,"Tauca","","","Distrito","District"
50303,176,"PER","Peru",2,"Ancash",23,"Pomabamba",209,"Huayllan","","","Distrito","District"
50304,176,"PER","Peru",2,"Ancash",23,"Pomabamba",210,"Parobamba","","","Distrito","District"
50305,176,"PER","Peru",2,"Ancash",23,"Pomabamba",211,"Pomabamba","","","Distrito","District"
50306,176,"PER","Peru",2,"Ancash",23,"Pomabamba",212,"Quinuabamba","","","Distrito","District"
50307,176,"PER","Peru",2,"Ancash",24,"Recuay",213,"Catac","","","Distrito","District"
50308,176,"PER","Peru",2,"Ancash",24,"Recuay",214,"Cotaparaco","","","Distrito","District"
50309,176,"PER","Peru",2,"Ancash",24,"Recuay",215,"Huayllapampa","","","Distrito","District"
50310,176,"PER","Peru",2,"Ancash",24,"Recuay",216,"Llacllin","","","Distrito","District"
50311,176,"PER","Peru",2,"Ancash",24,"Recuay",217,"Marca","","","Distrito","District"
50312,176,"PER","Peru",2,"Ancash",24,"Recuay",218,"Pampas Chico","","","Distrito","District"
50313,176,"PER","Peru",2,"Ancash",24,"Recuay",219,"Pararin","","","Distrito","District"
50314,176,"PER","Peru",2,"Ancash",24,"Recuay",220,"Recuay","","","Distrito","District"
50315,176,"PER","Peru",2,"Ancash",24,"Recuay",221,"Tapacocha","","","Distrito","District"
50316,176,"PER","Peru",2,"Ancash",24,"Recuay",222,"Ticapampa","","","Distrito","District"
50317,176,"PER","Peru",2,"Ancash",25,"Santa",223,"Caceres del Peru","","","Distrito","District"
50318,176,"PER","Peru",2,"Ancash",25,"Santa",224,"Chimbote","","","Distrito","District"
50319,176,"PER","Peru",2,"Ancash",25,"Santa",225,"Coishco","","","Distrito","District"
50320,176,"PER","Peru",2,"Ancash",25,"Santa",226,"Macate","","","Distrito","District"
50321,176,"PER","Peru",2,"Ancash",25,"Santa",227,"Moro","","","Distrito","District"
50322,176,"PER","Peru",2,"Ancash",25,"Santa",228,"Nepeña","","","Distrito","District"
50323,176,"PER","Peru",2,"Ancash",25,"Santa",229,"Nuevo Chimbote","","","Distrito","District"
50324,176,"PER","Peru",2,"Ancash",25,"Santa",230,"Samanco","","","Distrito","District"
50325,176,"PER","Peru",2,"Ancash",25,"Santa",231,"Santa","","","Distrito","District"
50326,176,"PER","Peru",2,"Ancash",26,"Sihuas",232,"Acobamba","","","Distrito","District"
50327,176,"PER","Peru",2,"Ancash",26,"Sihuas",233,"Alfonso Ugarte","","","Distrito","District"
50328,176,"PER","Peru",2,"Ancash",26,"Sihuas",234,"Cashapampa","","","Distrito","District"
50329,176,"PER","Peru",2,"Ancash",26,"Sihuas",235,"Chingalpo","","","Distrito","District"
50330,176,"PER","Peru",2,"Ancash",26,"Sihuas",236,"Huayllabamba","","","Distrito","District"
50331,176,"PER","Peru",2,"Ancash",26,"Sihuas",237,"Quiches","","","Distrito","District"
50332,176,"PER","Peru",2,"Ancash",26,"Sihuas",238,"Ragash","","","Distrito","District"
50333,176,"PER","Peru",2,"Ancash",26,"Sihuas",239,"San Juan","","","Distrito","District"
50334,176,"PER","Peru",2,"Ancash",26,"Sihuas",240,"Sicsibamba","","","Distrito","District"
50335,176,"PER","Peru",2,"Ancash",26,"Sihuas",241,"Sihuas","","","Distrito","District"
50336,176,"PER","Peru",2,"Ancash",27,"Yungay",242,"Cascapara","","","Distrito","District"
50337,176,"PER","Peru",2,"Ancash",27,"Yungay",243,"Mancos","","","Distrito","District"
50338,176,"PER","Peru",2,"Ancash",27,"Yungay",244,"Matacoto","","","Distrito","District"
50339,176,"PER","Peru",2,"Ancash",27,"Yungay",245,"Quillo","","","Distrito","District"
50340,176,"PER","Peru",2,"Ancash",27,"Yungay",246,"Ranrahirca","","","Distrito","District"
50341,176,"PER","Peru",2,"Ancash",27,"Yungay",247,"Shupluy","","","Distrito","District"
50342,176,"PER","Peru",2,"Ancash",27,"Yungay",248,"Yanama","","","Distrito","District"
50343,176,"PER","Peru",2,"Ancash",27,"Yungay",249,"Yungay","","","Distrito","District"
50344,176,"PER","Peru",3,"Apurímac",28,"Abancay",250,"Abancay","","","Distrito","District"
50345,176,"PER","Peru",3,"Apurímac",28,"Abancay",251,"Chacoche","","","Distrito","District"
50346,176,"PER","Peru",3,"Apurímac",28,"Abancay",252,"Circa","","","Distrito","District"
50347,176,"PER","Peru",3,"Apurímac",28,"Abancay",253,"Curahuasi","","","Distrito","District"
50348,176,"PER","Peru",3,"Apurímac",28,"Abancay",254,"Huanipaca","","","Distrito","District"
50349,176,"PER","Peru",3,"Apurímac",28,"Abancay",255,"Lambrama","","","Distrito","District"
50350,176,"PER","Peru",3,"Apurímac",28,"Abancay",256,"Pichirhua","","","Distrito","District"
50351,176,"PER","Peru",3,"Apurímac",28,"Abancay",257,"San Pedro de Cachora","","","Distrito","District"
50352,176,"PER","Peru",3,"Apurímac",28,"Abancay",258,"Tamburco","","","Distrito","District"
50353,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",259,"Andahuaylas","","","Distrito","District"
50354,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",260,"Andarapa","","","Distrito","District"
50355,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",261,"Chiara","","","Distrito","District"
50356,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",262,"Huancarama","","","Distrito","District"
50357,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",263,"Huancaray","","","Distrito","District"
50358,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",264,"Huayana","","","Distrito","District"
50359,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",265,"Kaquiabamba","","","Distrito","District"
50360,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",266,"Kishuara","","","Distrito","District"
50361,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",267,"Pacobamba","","","Distrito","District"
50362,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",268,"Pacucha","","","Distrito","District"
50363,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",269,"Pampachiri","","","Distrito","District"
50364,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",270,"Pomacocha","","","Distrito","District"
50365,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",271,"San Antonio de Cachi","","","Distrito","District"
50366,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",272,"San Jeronimo","","","Distrito","District"
50367,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",273,"San Miguel de Chaccrampa","","","Distrito","District"
50368,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",274,"Santa Maria de Chicmo","","","Distrito","District"
50369,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas",275,"Talavera","","","Distrito","District"
